代碼,學分,學時,老師,班級,Subject,科目,時間,地點
W092,2,2,北殿義雄,四技通識必修, Physics in life,通識自然科學領域（生活中的物理）,五05-06,國秀樓4A
W190,0,2,余詩芸,, English Remedial Class A,英檢輔導A,二05-06,國秀樓403教室
W191,0,2,余詩芸,, English Remedial Class A,英檢輔導A,二07-08,國秀樓403教室
W192,0,2,楊琇茹,, English Remedial Class A,英檢輔導A,四05-06,國秀樓413教室
W193,0,2,楊琇茹,, English Remedial Class A,英檢輔導A,四07-08,國秀樓413教室
W194,0,2,楊琇茹,, English Remedial Class A,英檢輔導A,四10-11,國秀樓413教室
W217,0,2,洪彰鴻,EC4, PhysicalEducation（Ⅰ）,體育（一）,四01-02,撞球
W218,0,2,江欣惇,ED2, PhysicalEducation（Ⅰ）,體育（一）,四01-02,排球場
W219,0,2,高文揚,MC1, PhysicalEducation（Ⅰ）,體育（一）,四01-02,高爾夫球練習場
W220,0,2,何添生,MC3, PhysicalEducation（Ⅰ）,體育（一）,四01-02,羽球場
W221,0,2,蔡輝炯,MB1, PhysicalEducation（Ⅰ）,體育（一）,四01-02,網球場
W222,0,2,劉英傑,EC5, PhysicalEducation（Ⅰ）,體育（一）,四01-02,籃球場
W223,0,2,梁隨燕,EC1, PhysicalEducation（Ⅰ）,體育（一）,四01-02,桌球教室
W224,0,2,韋磊,MD1, PhysicalEducation（Ⅰ）,體育（一）,五01-02,桌球教室
W225,0,2,伍木成,MD2, PhysicalEducation（Ⅰ）,體育（一）,五01-02,撞球
W226,0,2,陳小平,MD3, PhysicalEducation（Ⅰ）,體育（一）,五01-02,韻律教室
W227,0,2,林誯鎮,MA3, PhysicalEducation（Ⅰ）,體育（一）,五01-02,羽球場
W228,0,2,何添生,MA1, PhysicalEducation（Ⅰ）,體育（一）,五01-02,排球場
W229,0,2,韋磊,MA2, PhysicalEducation（Ⅰ）,體育（一）,五03-04,桌球教室
W230,0,2,伍木成,MB2, PhysicalEducation（Ⅰ）,體育（一）,五03-04,撞球
W231,0,2,陳小平,MB3, PhysicalEducation（Ⅰ）,體育（一）,五03-04,韻律教室
W232,0,2,林誯鎮,MC2, PhysicalEducation（Ⅰ）,體育（一）,五03-04,網球場
W239,0,2,蔡輝炯,四資二甲, PhysicalEducation（Ⅲ）,體育（三）,一07-08,撞球
W253,0,2,夏綠荷,四資二乙, PhysicalEducation（Ⅲ）,體育（三）,二07-08,韻律教室
W270,1,2,江佳恩,體育大三大四選, Billiard Ⅰ,撞球一,二01-02,撞球
W271,1,2,溫麗香,體育大三大四選, PilatesⅠ,皮拉提斯一,二01-02,韻律教室
W272,1,2,陳健隆,體育大三、四選, Swimming I,游泳一,二01-02,游泳池
W273,1,2,鄧政顯,體育大三、大四選, Basketball I,籃球一,二03-04,籃球場
W274,1,2,溫麗香,體育大三、大四選, PilatesⅠ,皮拉提斯一,二03-04,韻律教室
W275,1,2,江佳恩,體育大三、大四選, Billiard Ⅰ,撞球一,二03-04,撞球
W276,1,2,陳健隆,體育大三大四選, Swimming I,游泳一,二03-04,游泳池
W277,1,2,徐國陽,體育大三、大四選, Somatic fitnessⅠ,身心瑜珈一,三01-02,韻律教室
W278,1,2,楊士欣,體育大三、大四選, Volleyball I,排球一,三01-02,排球場
W279,1,2,劉嘉豪,體育大三大四選, Billiard Ⅰ,撞球一,三01-02,撞球
W280,1,2,楊雅琪,體育大三大四選, CurlingⅠ,冰壺一,三01-02,體適能教室
W281,1,2,徐國陽,體育大三、大四選, Somatic fitnessⅠ,身心瑜珈一,三03-04,韻律教室
W282,1,2,伍木成,體育大三、大四選, Table Tennis I,桌球一,三03-04,桌球教室
W283,1,2,陳小平,體育大三、大四選, Billiard Ⅰ,撞球一,三03-04,撞球
W284,1,2,劉嘉豪,體育大三大四選, Swimming I,游泳一,三03-04,游泳池
W285,1,2,楊士欣,體育大三、大四選, Volleyball I,排球一,三03-04,排球場
W286,1,2,劉英傑,大三、大四選, Basketball I,籃球一,三03-04,籃球場
W287,1,2,黃俊傑,體育大三、大四選, Frisbee Ⅰ,飛盤一,三03-04,運動場
W288,1,2,宋孟遠,體育大三、大四選, Badminton I,羽球一,三05-06,羽球場
W289,1,2,梁隨燕,體育大三、大四選, Table Tennis I,桌球一,三05-06,桌球教室
W290,1,2,陳培季,體育大三大四選, CurlingⅠ,冰壺一,三05-06,體適能教室
W292,1,2,鄭清榮,體育大三、大四選, Health and Body Sculpting I,健康與塑身一,四05-06,重量訓練室
W293,1,2,施廷衛,體育大三、大四選, Table Tennis I,桌球一,四05-06,桌球教室
W294,1,2,沈輝雄,體育大三、大四選, Badminton I,羽球一,四05-06,羽球場
W295,1,2,步國財,體育大三、大四選, Basketball I,籃球一,四05-06,籃球場
W296,1,2,陳培季,體育大三大四選, CurlingⅠ,冰壺一,四05-06,體適能教室
W297,1,2,楊士欣,體育大三四選, Swimming I,游泳一,四05-06,游泳池
W298,1,2,鄭清榮,體育大三、大四選, Health and Body Sculpting I,健康與塑身一,四07-08,重量訓練室
W299,1,2,步國財,體育大三、大四選, Basketball I,籃球一,四07-08,籃球場
W29A,1,2,施廷衛,體育大三、大四選, Table Tennis I,桌球一,四07-08,桌球教室
W29B,1,2,沈輝雄,體育大三、大四選, Badminton I,羽球一,四07-08,羽球場
W29C,1,2,陳培季,體育大三大四選, CurlingⅠ,冰壺一,四07-08,體適能教室
W29D,1,2,劉嘉豪,體育大三、大四選, Swimming I,游泳一,四07-08,游泳池
W555,3,3,徐華中,四資一甲, Chinese（Ⅰ）,國文（一）,二07-07,"國秀樓509教室), 三05-0"
W556,2,2,朱倩如,四資一甲, History and Culture（Ⅰ）,歷史與文化（一）,四07-08,國秀樓509教室
W557,1,1,劉淑如,四資一甲, Music Appreciation,音樂鑑賞,一07-07,國秀樓3F音樂欣賞教室
W558,0,2,陳建文,四資一甲, All-Out Defense Education Military Training（Ⅰ）,全民國防教育軍事訓練（一）,二01-02,國秀樓310教室
W560,2,2,王清德,四資一甲, Calculus（Ⅰ）,微積分（一）,二03-04,國秀樓509教室
W561,3,3,江亞玉,四資一乙, Chinese（Ⅰ）,國文（一）,二05-06,"國秀樓509教室), 三07-0"
W562,2,2,沈新民,四資一乙, History and Culture（Ⅰ）,歷史與文化（一）,一05-06,國秀樓509教室
W563,1,1,楊喻涵,四資一乙, Music Appreciation,音樂鑑賞,二08-08,國秀樓3F音樂欣賞教室
W564,0,2,陳建文,四資一乙, All-Out Defense Education Military Training（Ⅰ）,全民國防教育軍事訓練（一）,二03-04,國秀樓310教室
W566,2,2,賴馨華,四資一乙, Calculus（Ⅰ）,微積分（一）,四05-06,國秀樓509教室
WA23,2,2,柯源源,EA2, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓011教室
WA24,1,1,柯源源,EA2, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓1F語言教室A
WA25,2,2,呂仕華,EC2, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓411教室
WA26,1,1,呂仕華,EC2, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓411教室
WA27,2,2,林佑容,EC3, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓302教室
WA28,1,1,林佑容,EC3, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓302教室
WA29,2,2,陳碧貞,EC6, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓010教室
WA30,1,1,陳碧貞,EC6, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓2F語言教室C
WA31,2,2,游東道,ED1, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓402教室
WA32,1,1,游東道,ED1, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓402教室
WA33,2,2,張端容,ED3, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓405教室
WA34,1,1,張端容,ED3, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓405教室
WA35,2,2,林育群,MB2, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓301教室
WA36,1,1,林育群,MB2, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓301教室
WA37,2,2,李佳欣,MB3, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓407教室
WA38,1,1,李佳欣,MB3, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓407教室
WA39,2,2,段岱玲,MC2, Freshman English（Ⅰ）,大一英文（一）,四01-02,國秀樓408教室
WA40,1,1,段岱玲,MC2, Listening and Speaking（Ⅰ）,英文聽講（一）,四16-16,國秀樓408教室
WA41,2,2,柯源源,MA2, Freshman English（Ⅰ）,大一英文（一）,五01-02,國秀樓011教室
WA42,1,1,柯源源,MA2, Listening and Speaking（Ⅰ）,英文聽講（一）,四09-09,國秀樓1F語言教室A
WA43,2,2,柯源源,MA1, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓011教室
WA44,1,1,柯源源,MA1, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓011教室
WA45,2,2,張端容,MA3, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓312教室
WA46,1,1,張端容,MA3, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓312教室
WA47,2,2,許惠慈,MB1, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓012教室
WA48,1,1,許惠慈,MB1, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓012教室
WA49,2,2,李佳欣,MC1, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓509教室
WA50,1,1,李佳欣,MC1, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓509教室
WA51,2,2,吳淑蓉,MC3, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓412教室
WA52,1,1,吳淑蓉,MC3, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓412教室
WA53,2,2,陳碧貞,MD1, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓010教室
WA54,1,1,陳碧貞,MD1, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓010教室
WA55,2,2,朱曉薇,MD2, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓410教室
WA56,1,1,朱曉薇,MD2, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓410教室
WA57,2,2,戴宣毓,MD3, Freshman English（Ⅰ）,大一英文（一）,五03-04,國秀樓301教室
WA58,1,1,戴宣毓,MD3, Listening and Speaking（Ⅰ）,英文聽講（一）,五16-16,國秀樓301教室
WA65,6,6,羅秀青,語言全校共選,,德語菁英班（第1學期）,六06-08,"國秀樓1F自學教室), 六02-0"
WA67,6,6,馮雅蓮,語言全校共選,,日語菁英班（第1學期）,三10-12,"國秀樓1F語言教室A), 六02-0"
WA69,6,6,余孝,,,英語菁英班（第1學期）,,
