,科目,Subject,english
0,資料探勘,Data Mining,False
1,雲端運算,Cloud Computing,False
2,演算法,Algorithms,False
3,資訊安全,Information Security,False
4,巨量資料分析,Big Data Analytics,False
5,影像處理原理,Principles of Image Processing,False
6,資料壓縮原理,Principles of Data Compression,False
7,軟體工程與管理,Software Engineering and Management,False
8,資訊系統開發與管理,Information System Development and Management,False
9,物聯網應用與實務,IoT Application and Practice,False
