代碼,學分,學時,老師,班級,Subject,科目,時間,地點
G803,3,3,王圳木,訊碩一選3, Digital Image Processing,數位影像處理,三02-04,E547-工程館5F
G804,3,3,蔡垂雄,訊碩一選3, Advanced big data analytics,進階巨量資料分析,三02-04,E547-工程館5F
G805,3,3,林國祥,訊碩一選4, Advanced image recognition,進階影像辨識,四05-07,E420-工程館4F
G806,3,3,林灶生,訊碩一二選1, Programming in Deep Learning,深度學習實務,四06-08,工程館E437教室
G807,3,3,黃宣詔,訊碩一二選2, Monograph of Embedded System,嵌入式系統專論,二05-07,E547-工程館5F
G808,3,3,林宗宏,訊碩一二選2, Programming Methodology,編程方法論,五02-04,工程館E437教室
G897,1,2,黃宣詔,資工碩一, Seminar （Ⅱ）,專題討論（二）,三06-07,E529-工程館5F
G898,1,2,林國祥,資工碩二, Seminar（Ⅳ）,專題討論（四）,三06-07,E529-工程館5F
G899,3,3,資工碩二論文,資工碩二, Papers,論文,,
G8A0,3,3,資工碩一論文,資工碩一, Papers,論文,,
GA01,3,3,楊惠貞,資管碩一選1, Structral Equation Model,結構化方程式,二02-04,管理館M510B
GA02,3,3,劉宜菁,資管碩一選2, Service Innovation and Management,服務創新與管理,四05-07,管理館M503
GA03,3,3,黃俊明,資管碩一選3, Management of Technology,科技管理,五02-04,管理館M402A
GA97,1,2,資書報,資管碩一, Seminar（II）,書報討論（二）,三05-06,管理館M503
GA98,3,3,張定原,資管碩一, Management Information Systems,管理資訊系統,一06-08,管理館M402A
GA99,3,3,資論文,資管碩二, Papers,論文,,
GB01,3,3,廖明誠,景觀碩一, Creativity and design theory of landscape,景觀創意與設計理論,二02-04,管理館M706景觀效益實驗室
GB02,3,3,張淑貞,景觀碩一, Safe perception and spatial analysis,安全知覺與空間分析,五05-07,管理館M706景觀效益實驗室
GB10,1,2,方智芳,景觀碩一, Seminar （Ⅱ）,專題討論（二）,二05-06,管理館景觀電腦教室一
GB11,2,4,環規劃設計(二),景觀碩一, Environmental Planning and Design（Ⅱ）,環境規劃與設計（二）,四05-08,管理館M706景觀效益實驗室
GB12,3,3,研究方法,景觀碩一, Research Method,研究方法,三02-04,管理館M706景觀效益實驗室
GB13,1,2,韓可宗,景觀碩二, Seminar（Ⅳ）,專題討論（四）,二05-06,管理館景觀電腦教室一
GB14,3,3,景觀論文,景觀碩二, Papers,論文,,
GC02,3,3,黃詩珮,文創碩一, Design trend,設計思潮研究,一07-09,N103設計工
GC03,3,3,陳志昌,文創碩一, Folk belief and Cultural Creative Industies,民間信仰與文創產業,一01-03,文化休閒館CR106
GC04,3,3,顏加松,文創碩一, E-Commerce Studies of Creative and Cultural Industry,文創事業電子商務研究,一04-06,文化休閒館CR106
GC05,3,3,陳向濂,文創碩一, The Reasearch of Creative Industries Product Innovate Practice,文創產品開發實務研究,二01-03,文化休閒館CR106
GC99,3,3,文化論文,文創碩二, Papers,論文,,
GD01,3,3,陳細鈿,專案碩一, Quantitative Research,量化研究,三05-07,管理館M611-1
GD02,3,3,羅友志,專案碩一, Communication Skills for Cross Culture,跨國文化溝通技巧,二05-07,文化休閒館CR201教室
GD03,3,3,休閒運動健康管,專案碩一, Sports and Health Management Research,休閒運動健康管理研究,五02-04,文化休閒館CR202教室
GD04,3,3,林雲燦,專案碩一, Case Studies in Marketing Management,行銷管理個案研討,三02-04,文化休閒館CR202教室
GD97,3,3,專案管理資訊,專案碩一, Information System of Project Management,專案管理資訊系統,四07-09,管理館M611-1
GD98,1,2,王靖欣,專案碩一, Thesis Seminar（Ⅱ）,專題討論（二）,四01-02,管理館M614A-生
GD99,3,3,休閒專案論文,專案碩二, Paper（Ⅱ）,論文（二）,,
H001,3,3,洪永祥,工管產碩一選1, Management of Technology,科技管理,四10-12,工506教室
H002,3,3,陳坤盛,工管產碩一選2, Total Quality Management,全面品質管理,六12-14,管理館M116教室
H003,3,3,廖麗滿,工管產碩一選3, Enterprise Resource Planning,企業資源規劃,六10-11,"工203生產管理實習室), 六09-0"
H004,3,3,王偉驎,工管產碩一選4, Intelligent Manufacture,智慧製造特論,六04-06,管理館M116教室
H005,3,3,江瑞坤,工管產碩一選1, Lean Production Practice and Research,精實生產實務研究,四11-13,
H006,3,3,黃存宏,工管產碩一選2, Ergonomic test and evaluation,人因測試與評估,五11-13,工202教室
H007,3,3,張嘉寶,工管產碩一選5, Patents and R & D,專利與研發,六01-03,管理館M116教室
H008,3,3,王肇樹,工管產碩一選3, Innovation and Entrepreneurial management,創新及創業管理,六09-11,管理館M116教室
H010,1,2,何境峰,109春工管1(產碩), Seminar （Ⅰ）,書報討論（一）,六07-08,工506教室
H011,1,2,張嘉寶,108秋工管1(產碩), Seminar（Ⅱ）,書報討論（二）,六07-08,管理館M107教室
H012,1,2,王偉驎,107秋工管2(產碩), Seminar（Ⅳ）,書報討論（四）,六07-08,管理館M420B-生
H013,3,3,,107秋工管2(產碩), Papers,論文,,
H200,3,3,訊產碩多媒體,108秋資工1(產碩), The Theory and Applications of Multimedia,多媒體理論與應用,六06-08,E420-工程館4F
H201,3,3,陳瑞茂,108秋資工1(產碩), Communication Technologies of the Internet of Things,物聯網通訊技術,六02-04,E547-工程館5F
H202,3,3,邱文志,108秋資工1(產碩), Strategic Management,策略管理,六09-11,E531-工程館5F
H203,3,3,曹世昌,108春資工2(產碩), Special Topics In Information Application System,資訊應用專論,六02-04,E418-工程館4F
H204,3,3,羅見順,108春資工2(產碩), The theory and applications of virtual reality,虛擬實境理論與應用,六02-04,E420-工程館4F
H205,3,3,邱文志,108春資工2(產碩), Topics of Small & Medium Enterprise Management,中小企業管理專論,六06-08,E531-工程館5F
H206,3,3,林國祥,107秋資工2(產碩), Deep and machine learning,深度與機器學習,六02-04,E529-工程館5F
H216,2,2,游信強,108秋資工1(產碩), Seminar（Ⅱ）,專題研究（二）,五10-11,E420-工程館4F
H217,2,2,王圳木,108春資工2(產碩), Seminar（Ⅲ）,專題研究（三）,五12-13,E420-工程館4F
H218,2,2,王圳木,107秋資工2(產碩), Seminar（Ⅳ）,專題研究（四）,六09-10,E420-工程館4F
H219,3,3,訊碩秋論文,108秋資工1(產碩), Papers,論文,,
H220,3,3,訊碩春論文,108春資工2(產碩), Papers,論文,,
H518,1,2,蔡明義,107秋精機2, Project Study and Practice （Ⅳ）,專題研討與實習（四）,,單週開課)五11-1
H519,3,3,產碩機論文,107秋精機2, Papers,論文,,
HA03,3,3,黃嘉彥,108秋秋資管產碩1, Marketing of High-Technology,科技行銷,四10-12,管理館M108
HA05,3,3,王肇樹,108秋資管1(產碩), Organizational leadership and management,組織領導與管理,五10-12,管理館M109
HA06,3,3,王清德,108秋資管1(產碩), Data hierarchical analysis,資料層級分析,六09-11,管理館M402A
HA07,3,3,王靖欣,108秋資管1(產碩), High Technical Quality Management,高科技品質管理,六12-14,管理館M108
HA08,3,3,江資航,108秋資管1(產碩), Cloud services and enterprise management,雲端服務與企業經營管理,六12-14,管理館M109
HA21,3,3,黃俊明,108秋資管1(產碩), Management of Technology,科技管理,六02-04,管理館M503
HA22,1,2,黃俊明,108秋資管1(產碩), Seminar（Ⅱ）,書報討論（二）,六07-08,管理館M503
HA23,3,3,,108春資管2(產碩), Papers,論文,,
HA24,1,2,張定原,108春資管2(產碩), Seminar（Ⅲ）,書報討論（三）,六07-08,管理館M402A
HA25,1,2,董俊良,107秋資管2(產碩), Seminar（Ⅳ）,書報討論（四）,六07-08,管理館M419
HA26,3,3,,107秋資管2(產碩), Papers,論文,,
J001,3,3,彭國芳,碩士在職專班選1, Non-store marketing,無店鋪行銷,一11-13,管理館M302
J002,3,3,吳世光,碩士在職專班選2, Advanced Distribution Technology Management,流通科技管理研討,日02-04,管理館M301
J003,3,3,周聰佑,碩士在職專班選3, Advanced Customer Relationship Management,顧客關係管理研討,三11-13,管理館M327
J004,3,3,賴建榮,碩士在職專班選4, Advanced Consumer Behavior,消費者行為研討,二11-13,管理館M326
J005,3,3,吳文明,碩士在職專班選5, Decision Analysis,決策分析,六03-05,管理館M303
J006,3,3,陳啟東,碩士在職專班選6, Knowledge Management,知識管理,四11-13,管理館M301
J007,3,3,林宏澤,碩士在職專班選7, Advanced Operations Management,高等作業管理,五11-13,管理館M324
J031,1,1,周聰佑,流管碩職一, Seminar（Ⅱ）,書報討論（二）,三14-14,管理館M327
J032,0,0,,流管碩職一,,班週會時間,六02-02,管理館M326
J033,0,0,,流管碩職二,,班週會時間,六02-02,管理館M326
J099,3,3,流管碩論文,流管碩職二, Thesis（Ⅱ）,論文（二）,,
J101,3,3,洪永祥,工管碩職一選1, Quality Engineering,品質工程,三11-13,工403品質管理實驗室
J102,3,3,李國義,工管碩職一選1, Patent and Invention Innovation,專利與創新發明,三11-13,工002製造程序改善室
J103,3,3,陳坤盛,工管碩職一選2, Performance Evaluation Method,績效評估方法,四11-13,管理館M420B-生
J105,3,3,黃喬次,工管碩職一選3, Advance Statistics Process Control,高等統計製程管制,五11-13,工501製商整合實習室
J106,3,3,黃存宏,工管碩職一選4, Ergonomic Testing and Evaluation,人因測試與評估,六01-03,工202教室
J107,3,3,陳水閦,工管碩職一選5, Total Quality Management,全面品質管理,六06-08,工202教室
J108,3,3,張嘉寶,工管碩職一選6, Entrepreneurship and Innovation,創業與創新,六09-11,工501製商整合實習室
J109,3,3,何境峰,工管碩職一選6, Bussiness Diagnosis,經營診斷與管理,六09-11,管理館M112會議室
J131,1,1,康鶴耀,工管碩職一, Seminar,書報討論,六04-04,管理館M112會議室
J132,0,0,,工管碩職一,,班週會時間,一10-11,管理館M116教室
J133,0,0,,工管碩職二,,班週會時間,五10-10,"工501製商整合實習室), 五14-1"
J199,3,3,工管碩論文,工管碩職二, Papers,論文,,
J201,3,3,王輔仁,碩專一二選1,,室內空氣品質,六06-08,E227研究所電化教室
J202,3,3,管衍德,碩專一二選2,,能源應用與原動力廠,六09-11,E109能源工程實驗室
